tier,title,LS: Perception,LS: Input,LS: Organization,LS: Processing,LS: Understanding,CT,D,BT,P
ER13a_1_1,Digital signatures and certificates,P:S,I:V,O:D,Pr:R,U:S,video,shallow,Understand,none
ER13b_1_1,Digital signatures and certificates,P:I,I:A,O:D,Pr:R,U:S,text,general,"Understand, Remember",adaptable
ER13b_1_2,,P:S,I:A,O:D,Pr:R,U:S,image,general,understand,adaptable
ER13b_1_3,,P:I,I:V,O:D,Pr:A,U:G,website,shallow,,adaptable
ER13b_1_4,,P:S,I:A,O:I,Pr:R,U:G,image,deep,,adaptable
ER13b_1_5,,P:S,I:A,O:I,Pr:R,U:S,website,shallow,create,adaptable
ER13c_1_1,Digital signatures and certificates,P:I,I:A,O:I,Pr:A,U:S,text,general,"Understand, Analyze",adaptive
ER13c_1_2,,P:S,I:A,O:I,Pr:A,,image,deep,evaluate,adaptive
ER13c_1_3,,P:S,I:A,O:I,Pr:R,U:S,video,general,,adaptive
ER13c_1_4,,P:I,I:V,,Pr:R,,text,shallow,create,adaptive
ER13c_1_5,,P:I,I:V,O:D,,U:S,image,shallow,evaluate,adaptive
ER13d_1_1,Digital signatures and certificates,P:S,I:V,,,,image,general,,none
ER13e_1_1,Digital signatures and certificates,P:I,I:A,,,,website,general,,adaptable
ER13e_1_2,,P:S,I:A,O:D,Pr:A,U:G,image,shallow,apply,adaptable
ER13e_1_3,,P:I,I:V,O:I,Pr:R,U:S,text,deep,evaluate,adaptable
ER13e_1_4,,P:I,I:V,O:I,Pr:R,U:G,video,general,understand,adaptable
LO4d_1,,,,,,,,,,none
ER14a_1_1,Encrypted network connections,P:S,I:V,,,,image,shallow,,adaptive
ER14a_1_2,,P:S,I:A,O:D,Pr:A,,video,shallow,evaluate,adaptive
ER14a_1_3,,P:I,I:V,,Pr:A,,text,general,analyze,adaptive
ER14a_1_4,,P:S,I:A,O:I,,,audio,general,apply,adaptive
ER14a_1_5,,P:I,I:V,O:D,Pr:R,,image,shallow,understand,adaptive
ER14b_1_1,Encrypted network connections,P:I,I:A,O:D,Pr:R,U:S,text,general,Understand,adaptive
ER14b_1_2,,P:I,I:V,O:D,,U:G,audio,general,apply,adaptive
ER14b_1_3,,P:S,I:A,,Pr:R,U:S,website,general,create,adaptive
LO4e_1,,,,,,,,,,none
ER15a_1_1,How secure is your browsing?,P:S,I:V,,,,image,shallow,,none
ER15b_1_1,How secure is your browsing?,P:I,I:A,O:D,Pr:R,U:S,text,general,Understand,adaptable
ER15b_1_2,,P:I,I:V,O:I,Pr:A,U:G,text,general,analyze,adaptable
ER15b_1_3,,P:S,I:A,,,U:S,audio,shallow,evaluate,adaptable
ER15b_1_4,,P:I,I:V,O:I,,U:G,image,general,evaluate,adaptable
ER15c_1_1,How secure is your browsing?,P:I,I:A,,,,website,shallow,,adaptive
ER15c_1_2,,P:S,I:A,O:I,Pr:A,U:G,video,deep,evaluate,adaptive
ER15c_1_3,,P:I,I:V,O:D,,,image,shallow,analyze,adaptive
ER15c_1_4,,P:I,I:V,,Pr:A,U:G,image,shallow,understand,adaptive
ER15d_1_1,How secure is your browsing?,P:I,I:A,,,,website,shallow,,adaptable
ER15d_1_2,,P:S,I:A,O:I,Pr:R,U:S,video,general,evaluate,adaptable
ER15d_1_3,,P:S,I:A,O:D,Pr:R,,text,deep,understand,adaptable
ER15d_1_4,,P:I,I:V,O:I,,U:G,audio,shallow,analyze,adaptable
ER15e_1_1,How secure is your browsing?,P:I,I:A,O:I,Pr:A,U:S,text,general,Apply,adaptive
ER15e_1_2,,P:I,I:V,O:I,Pr:A,U:S,audio,shallow,understand,adaptive
ER15e_1_3,,P:I,I:V,O:D,Pr:A,,website,shallow,understand,adaptive
ER15e_1_4,,P:I,I:V,O:D,,,text,deep,create,adaptive
,Part 4,,,,,,,,,
LO5a_1,,,,,,,,,,none
ER16a_1_1,Week 5 quiz,P:I,I:A,,Pr:R,,text,shallow,Understand,none
ER16b_1_1,Week 5 quiz,P:I,I:A,,Pr:R,,website,general,Create,none
,Part 5,,,,,,,,,
LO6a_1,,,,,,,,,,none
ER17a_1_1,Summary of Week 5,P:S,I:V,,,,image,shallow,,none
ER17b_1_1,Summary of Week 5,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,none
